Article,Claim,Label,Label_mapped
https://www.politifact.com/arizona/statements/2016/jul/11/donald-trump/did-hillary-clinton-take-money-countries-treat-wom/,"Says Hillary Clinton has been given tens of millions of dollars by countries that ""treat women horribly ... and countries that kill gays.""",TRUE POLI ACT TRUTH - - METERM,True
https://www.politifact.com/arizona/statements/2016/oct/06/campaign-regulate-marijuana-alcohol/has-colorado-teen-pot-use-not-increased-legalizati/,"Says marijuana use among Colorado high school students ""has not increased since legalization.""",TRUE POLI ACT TRUTH - - METERM,True
https://www.politifact.com/california/statements/2016/dec/02/gavin-newsom/pences-support-conversion-therapy-not-settled-matt/,"Says Indiana Gov. Mike Pence ""advocated diverting taxpayer dollars to so-called conversion therapy.""",TRUE POLI ACT TRUTH - - METERM,True
https://www.politifact.com/california/statements/2016/dec/19/jerry-brown/are-jobs-california-growing-hell-lot-faster-texas/,"""California is growing a hell of a lot faster than Texas.""",POLITIF TRUTH-O - TER'M,True
https://www.politifact.com/california/statements/2016/jul/12/firearms-policy-coalition/will-ca-gun-control-measure-criminalize-sharing-bu/,"California's Proposition 63 would ""CRIMINALIZE the sharing of ammunition between friends who may be hunting or shooting together.""",LITIFACT TRUT - O-METER'M,False
https://www.politifact.com/california/statements/2016/jul/26/kevin-de-leon/does-california-really-have-sixth-largest-economy-/,"California has ""the sixth largest economy on planet Earth.""",POLITIF TRUTH-O - TER'M,True
https://www.politifact.com/california/statements/2016/nov/28/donald-trump/pants-fire-trumps-claim-about-california-voter-fra/,"There was ""serious voter fraud"" in California.",PANTS ON FIRE /,False
https://www.politifact.com/california/statements/2016/oct/17/scott-jones/scott-jones-falsely-claims-judges-ruled-allegation/,"Says allegations that he made unwanted sexual advances on a female sheriff's deputy ""were found by two separate judges to not have merit.""","FALSE POLITIFACT TRUTH-O-METER ' """,False
https://www.politifact.com/california/statements/2017/apr/11/jim-patterson/will-california-soon-have-highest-gas-tax-nation/,"California will have the ""highest gas tax in the nation"" once its 12 cent gas tax hike goes into effect.","FALSE POLITIFACT TRUTH-O-METER ' """,False
https://www.politifact.com/california/statements/2017/apr/28/scott-peters/would-trumps-border-wall-cost-same-one-and-half-us/,"The estimated price of President Trump's border wall is the same as the cost of ""one and a half aircraft carriers.""",TRUE POLITIFACT TRUTH-O-METER'M,True
https://www.politifact.com/california/statements/2017/aug/03/antonio-villaraigosa/mostly-true-undocumented-immigrants-less-likely-co/,"""Undocumented immigrants commit less crimes than the native born.""",POLITIF TRUTH-O - TER'M,True
https://www.politifact.com/california/statements/2017/aug/22/john-moorlach/has-crime-been-getting-worse-jerry-brown-was-elect/,"""Crime has been getting worse since Jerry Brown was elected governor.""",LITIFACT TRUT - O-METER'M,False
https://www.politifact.com/california/statements/2017/feb/03/tom-mcclintock/americas-refugee-vetting-already-robust-not-haphaz/,"Refugee ""vetting was very haphazard,"" under the Obama Administration. ""In many cases, we simply accepted the word of applicants.""",LITIFACT TRUT - O-METER'M,False
https://www.politifact.com/california/statements/2017/feb/16/travis-allen/examining-claim-about-oroville-dam-spillway/,"""The Oroville dam failure was entirely avoidable: California passed a $7.5 Billion water bond in 2014 but Jerry Brown didn't spend $1 on new water storage or improvements to existing infrastructure like Oroville.""",LITIFACT TRUT - O-METER'M,False
https://www.politifact.com/california/statements/2017/feb/28/gavin-newsom/true-campaign-trump-said-states-should-decide-lega/,"During his campaign for president, Donald Trump ""committed to honoring states' rights when it comes to marijuana legalization.""",TRUE POLITIFACT TRUTH-O-METER'M,True
https://www.politifact.com/california/statements/2017/jan/04/travis-allen/lawmakers-claim-about-california-legalizing-child-/,"""Beginning on Jan. 1, prostitution by minors will be legal in California.""",PANTS ON FIRE /,False
https://www.politifact.com/california/statements/2017/jan/20/chad-mayes/true-california-has-nations-highest-poverty-rate-w/,"California has ""the highest poverty rate in the nation"" when considering the U.S. Census Bureau's Supplemental Poverty Measure.",TRUE POLITIFACT TRUTH-O-METER'M,True
https://www.politifact.com/california/statements/2017/jun/22/antonio-villaraigosa/does-california-have-6th-largest-economy-world-and/,"Although California has ""the sixth largest economy in the world, we also have one of the highest poverty rates"" in the nation.",POLITIF TRUTH-O - TER'M,True
https://www.politifact.com/california/statements/2017/may/09/judy-chu/rape-pre-existing-condition-under-gop-bill-calif-c/,"The GOP health bill ""would once again allow being a rape or domestic violence victim to be a pre-existing condition.""",LITIFACT TRUT - O-METER'M,False
https://www.politifact.com/california/statements/2018/feb/07/travis-allen/travis-allen-repeats-false-claim-californians-over/,"""Californians are overwhelmingly against this concept of the illegal sanctuary state.""","FALSE POLITIFACT TRUTH-O-METER ' """,False
https://www.politifact.com/california/statements/2018/jan/17/delaine-eastin/does-california-rank-41st-student-spending-no-1-pr/,"California is 41st in the nation in per pupil K-12 spending, but ""No. 1 in per prisoner"" spending.",POLITIF TRUTH-O - TER'M,True
