Article,Claim,Label,Label_mapped
https://www.snopes.com/fact-check/12-week-photo/,A photograph shows a 12-week-old fetus.,https://www.snopes.com/tachyon/2018/03/rating-miscaptioned.png,False
https://www.snopes.com/fact-check/14-year-old-pregnant-flu-shot/,A teenage schoolgirl in Texas became pregnant through a flu vaccination.,https://www.snopes.com/tachyon/2018/03/rating-false.png,False
https://www.snopes.com/fact-check/15-year-old-killed-trespassing-while-playing-pokemon-go/,A homeowner shot and killed a teenaged boy trespassing during a round of Pokemon Go.,https://www.snopes.com/tachyon/2018/03/rating-false.png,False
https://www.snopes.com/fact-check/1898-julia-richardson/,"A photograph from 1898 shows Julia Richardson, a tennis player who won six doubles championships.",https://www.snopes.com/tachyon/2018/03/rating-mostly-false.png,False
https://www.snopes.com/fact-check/1900s-playground-photo/,A black-and-white photograph shows children playing on frighteningly dangerous (by modern standards) playground equipment in a public park.,https://www.snopes.com/tachyon/2018/03/rating-true.png,True
https://www.snopes.com/fact-check/1912-article-global-warming/,A 14 August 1912 article from a New Zealand newspaper contained a brief story about how burning coal might produce future warming by adding carbon dioxide to the atmosphere.,https://www.snopes.com/tachyon/2018/03/rating-true.png,True
https://www.snopes.com/fact-check/1922-new-york-times-hitler/,"A 1922 New York Times article reported that Adolf Hitler ""was merely using anti-Semitic propaganda as a bait to catch masses of followers"".",https://www.snopes.com/tachyon/2018/03/rating-true.png,True
https://www.snopes.com/fact-check/1930s-housewife-smile-therapy/,"Image depicts ""attitude adjustment"" and ""smile therapy"" forced upon American housewives in the 1930s institutionalized for ""not taking care of themselves"" and acting ""depressed.""",https://www.snopes.com/tachyon/2018/03/rating-false.png,False
https://www.snopes.com/fact-check/1956-republican-platform/,A summary of the 1956 Republican platform describes a significant divergence from the party's focus in recent decades.,https://www.snopes.com/tachyon/2018/03/rating-mixture.png,Unknown
https://www.snopes.com/fact-check/1994s-most-bizarre-suicide/,"A coroner had his hands full determining just that in the case of a man who jumped off a building, only to have a shotgun blast finish him off halfway down.",https://www.snopes.com/tachyon/2018/03/rating-false.png,False
https://www.snopes.com/fact-check/1998-trump-people-quote/,"Donald Trump said in 1998 that he would one day run as a Republican because they are the ""dumbest group of voters.""",https://www.snopes.com/tachyon/2018/03/rating-false.png,False
https://www.snopes.com/fact-check/2012-voter-fraud/,A list cites instances proving voter fraud in the 2012 U.S. presidential election.,https://www.snopes.com/tachyon/2018/03/rating-false.png,False
