Article,Claim,Label,Label_mapped
https://web.archive.org/web/20210111003633/https://www.politifact.com/article/2020/aug/26/fact-checking-second-night-2020-rnc/,Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma.,Supported,True
https://web.archive.org/web/20210111003633/https://www.politifact.com/article/2020/aug/26/fact-checking-second-night-2020-rnc/,Donald Trump delivered the largest tax cuts in American history.,Refuted,False
https://web.archive.org/web/20210307003741/https://africacheck.org/fact-checks/reports/kenyas-ex-prime-minister-odinga-mangles-his-numbers-government-revenue-share,"In Nigeria … in terms of revenue share, 20% goes to the local government.",Supported,True
https://web.archive.org/web/20210111003633/https://www.politifact.com/article/2020/aug/26/fact-checking-second-night-2020-rnc/,Biden has pledged to stop border wall construction and give amnesty and health care to all illegal immigrants.,Supported,True
https://web.archive.org/web/20210428162642/https://www.politifact.com/factchecks/2020/aug/28/howard-marklein/claim-evers-barnes-did-not-call-peace-calm-after-b/,"After the police shooting of Jacob Blake, Gov. Tony Evers & Lt. Gov. Mandela Barnes did not call for peace or encourage calm.",Refuted,False
https://web.archive.org/web/20200922100752/https://newsmeter.in/viral-claim-about-postponement-of-clat-2020-is-false/,"The Common Law Admission Test (CLAT) 2020 will not be conducted on September 7, 2020, as planned",Refuted,False
https://web.archive.org/web/20210307003741/https://africacheck.org/fact-checks/reports/kenyas-ex-prime-minister-odinga-mangles-his-numbers-government-revenue-share,35% of revenue goes to states. (In Nigeria),Refuted,False
https://web.archive.org/web/20210111003633/https://www.politifact.com/article/2020/aug/26/fact-checking-second-night-2020-rnc/,Margaret Sanger was a racist who believed in eugenics. Her goal when founding Planned Parenthood was to eradicate minorities.,Conflicting Evidence/Cherrypicking,Unknown
https://web.archive.org/web/20210111003633/https://www.politifact.com/article/2020/aug/26/fact-checking-second-night-2020-rnc/,"Joe Biden voted for the Irag War and supported war in Serbia, Syria and Libya.",Conflicting Evidence/Cherrypicking,Unknown
https://web.archive.org/web/20210111003633/https://www.politifact.com/article/2020/aug/26/fact-checking-second-night-2020-rnc/,Biden will take away the Second Amendment.,Refuted,False
https://web.archive.org/web/20210111003633/https://www.politifact.com/article/2020/aug/26/fact-checking-second-night-2020-rnc/,Biden has pledged to defund the police,Refuted,False
https://web.archive.org/web/20210513172441/https://dubawa.org/did-president-buhari-sign-a-new-police-bill-to-allow-officers-to-arrest-without-a-warrant-yes/,President Muhammadu Buhari sign a new Police bill to allow officers arrest without a warrant,Supported,True
https://web.archive.org/web/20210513131448/https://www.boomlive.in/world/no-plant-seeds-cannot-restructure-their-own-dna-through-human-saliva-9462,Plant Seeds Can Restructure Their Own DNA Through Human Saliva,Refuted,False
https://web.archive.org/web/20210228221615/https://www.politifact.com/article/2020/aug/25/fact-checking-night-1-2020-rnc/,We actually saw revenues to the Treasury increase after we lowered taxes in 2017. Rest assured the Democrats do not want you to know that.,Refuted,False
https://web.archive.org/web/20210419235356/https://www.politifact.com/factchecks/2020/aug/27/chris-larson/yes-police-were-208-more-likely-kill-be-killed-cri/,In 2019 the US Police were 20.8 times more likely to kill than be killed by a criminal,Supported,True
https://web.archive.org/web/20210127231105/https://africacheck.org/fact-checks/reports/factchecking-kenyas-chief-justice-judiciary-funding-and-backlog-cases,There is a ‘global average’ for the number of judges and magistrates to number of people in Kenya.,Not Enough Evidence,Unknown
https://web.archive.org/web/20210127231105/https://africacheck.org/fact-checks/reports/factchecking-kenyas-chief-justice-judiciary-funding-and-backlog-cases,"In Kenya now with a population of about 48 million, there is one judge serving over 300,000 people.",Supported,True
https://web.archive.org/web/20210127231105/https://africacheck.org/fact-checks/reports/factchecking-kenyas-chief-justice-judiciary-funding-and-backlog-cases,"Kenya had a population of about 48 million with one judge serving over 300,000 people in 2019.",Not Enough Evidence,Unknown
https://web.archive.org/web/20201126085147/https://fullfact.org/health/child-anxiety-pandemic/,"Anxiety levels among young teenagers dropped during the coronavirus pandemic, a study has suggested",Conflicting Evidence/Cherrypicking,Unknown
https://web.archive.org/web/20210127231105/https://africacheck.org/fact-checks/reports/factchecking-kenyas-chief-justice-judiciary-funding-and-backlog-cases,The Kenyan judiciary does not even get 1% of the national budget.,Supported,True
https://web.archive.org/web/20210715181029/https://www.washingtonpost.com/politics/2020/08/31/joe-bidens-claim-that-he-wont-raise-taxes-people-making-less-than-400000/,"I will raise taxes for anybody making over $400,000. … No new taxes for people making less than $400,000.",Not Enough Evidence,Unknown
https://web.archive.org/web/20210226130032/https://africacheck.org/fact-checks/reports/verifying-kenyan-governors-claims-progress,The counties are striving to reach the 10% [allocation to agriculture] recommended by the Malabo declaration.,Not Enough Evidence,Unknown
https://web.archive.org/web/20210127231105/https://africacheck.org/fact-checks/reports/factchecking-kenyas-chief-justice-judiciary-funding-and-backlog-cases,"Kenya only disposes of about 300,000 cases.",Supported,True
https://web.archive.org/web/20210127231105/https://africacheck.org/fact-checks/reports/factchecking-kenyas-chief-justice-judiciary-funding-and-backlog-cases,"The judiciary of Kenya have an average of 400,000 cases being filed in our courts every year.",Supported,True
https://web.archive.org/web/20210720170429/https://www.vishvasnews.com/english/politics/fact-check-countrys-government-schools-are-not-being-privatised-viral-claim-is-false/,All government schools in India are being privatised.,Refuted,False
https://web.archive.org/web/20210228151829/https://ghanafact.com/2020/08/fact-check-akufo-addos-speech-at-npp-manifesto-launch/,The current Ghana administration has resulted in a decline in unemployment rates from 11.9% in 2015 to 7.3% in 2019.,Not Enough Evidence,Unknown
https://web.archive.org/web/20210712105353/https://www.factcheck.org/2020/03/trumps-suspect-spanish-flu-claims/,If one gets the Spanish flu you have a 50% chance of dying,Refuted,False
https://web.archive.org/web/20210228151829/https://ghanafact.com/2020/08/fact-check-akufo-addos-speech-at-npp-manifesto-launch/,"Ghana's economy previously grew at 3.4% under the form President Mahama's government and on average, for three successive years, at 7% per year with the current administration.",Supported,True
https://web.archive.org/web/20210127231105/https://africacheck.org/fact-checks/reports/factchecking-kenyas-chief-justice-judiciary-funding-and-backlog-cases,"Kenya settles  about 300,000 court cases each year.",Supported,True
https://web.archive.org/web/20210426055654/https://checkyourfact.com/2020/08/24/fact-check-no-democrats-condemned-riots/,No Democrats have condemned the rioting that has occurred alongside recent protests.,Refuted,False
https://web.archive.org/web/20201120202906/https://leadstories.com/hoax-alert/2020/09/fact-check-pizzagate-is-not-real.html,"A pizza place in Washington, D.C. -- Comet Ping Pong has ties to Hillary Clinton and other leading Democrats",Refuted,False
https://web.archive.org/web/20210102061347/https://africacheck.org/reports/fact-checking-south-africas-health-minister-on-the-countrys-relationship-with-alcohol/,South Africans that drink are amongst the top drinkers in the world.,Supported,True
https://web.archive.org/web/20210202115551/https://africacheck.org/fact-checks/reports/fact-checking-south-africas-health-minister-countrys-relationship-alcohol,South Africans are among the top drinkers in the world.,Supported,True
https://web.archive.org/web/20210102061347/https://africacheck.org/reports/fact-checking-south-africas-health-minister-on-the-countrys-relationship-with-alcohol/,South African consume more alcohol per person on average than anywhere else in Africa.,Refuted,False
https://web.archive.org/web/20210202115551/https://africacheck.org/fact-checks/reports/fact-checking-south-africas-health-minister-countrys-relationship-alcohol,South Africans drink more per person than anywhere else in Africa,Refuted,False
https://web.archive.org/web/20210102061347/https://africacheck.org/reports/fact-checking-south-africas-health-minister-on-the-countrys-relationship-with-alcohol/,Only 31% of South African drink alcohol,Not Enough Evidence,Unknown
https://web.archive.org/web/20210202115551/https://africacheck.org/fact-checks/reports/fact-checking-south-africas-health-minister-countrys-relationship-alcohol,South Africans drink more per person than anywhere else in Africa.,Refuted,False
https://web.archive.org/web/20210411050242/https://dubawa.org/explainer-this-is-how-nigeria-became-one-of-the-top-10-rated-nations-in-ease-of-doing-business/,world bank currently rates Nigeria as one of ten top performing countries on its Doing Business Index.,Supported,True
https://web.archive.org/web/20210202115551/https://africacheck.org/fact-checks/reports/fact-checking-south-africas-health-minister-countrys-relationship-alcohol,South Africans are among the top drinkers in the world,Supported,True
https://web.archive.org/web/20210217234105/https://misbar.com/en/factcheck/2021/02/17/biden-officiated-gay-wedding-at-naval-observatory-in-2016,Joe Biden officiated a gay wedding at the White House in 2016.,Conflicting Evidence/Cherrypicking,Unknown
https://web.archive.org/web/20210217053253/https://checkyourfact.com/2020/08/26/fact-check-misinformation-arizona-superintendent-hoffman-sex-education/,Democratic Arizona Superintendent of Public Instruction Kathy Hoffman is “pushing” for sex education that would teach kindergartners about masturbation and sexual positions.,Refuted,False
https://web.archive.org/web/20210127081540/https://factcheck.afp.com/experts-refute-misleading-claims-about-apple-and-googles-coronavirus-contact-tracing-interface,"The interface of the COVID-19 Exposure Notification System, a contact tracing programme developed by Apple and Google has been secretly inserted onto phones and tracks user’s location.",Refuted,False
https://web.archive.org/web/20210217053253/https://checkyourfact.com/2020/08/26/fact-check-misinformation-arizona-superintendent-hoffman-sex-education/,Democratic Arizona Superintendent of Public Instruction Kathy Hoffman was sworn into office on a Dr. Seuss book.,Refuted,False
https://web.archive.org/web/20200927061204/https://newsmeter.in/fact-check-claim-that-the-supreme-court-changed-its-motto-is-false/,India's Supreme Court recently changed its motto from ‘Satyamev Jayate’ to ‘Yato Dharmastato Jai’.,Refuted,False
https://web.archive.org/web/20200928024402/https://leadstories.com/hoax-alert/2020/08/fact-check-candace-owens-fired-after-calling-kamala-fake-black.html,Candace Owens was fired from her show at One America News after a  racist outburst.,Refuted,False
https://web.archive.org/web/20210213030928/https://www.washingtonpost.com/politics/2020/08/24/absurb-claim-that-trump-is-most-pro-gay-president-american-history/,President Trump is the most pro-gay president in American history.,Refuted,False
https://web.archive.org/web/20210304150502/https://www.politifact.com/article/2020/aug/19/fact-checking-second-night-2020-democratic-nationa/,USA is the only major industrial economy to have it unemployment rate triple.,Supported,True
https://web.archive.org/web/20210304150502/https://www.politifact.com/article/2020/aug/19/fact-checking-second-night-2020-democratic-nationa/,The USA has only 4% of the worlds population but has 25% of the worlds Covid-19 Cases.,Supported,True
https://web.archive.org/web/20210304150502/https://www.politifact.com/article/2020/aug/19/fact-checking-second-night-2020-democratic-nationa/,Donald Trump is trying to take away the health care by getting rid of the Affordable Care Act.,Supported,True
https://web.archive.org/web/20210720165517/https://www.boomlive.in/fake-news/no-mughal-gardens-has-not-been-renamed-to-dr-rajendra-prasad-garden-9403,Mughal Gardens Renamed To Dr. Rajendra Prasad Garden,Refuted,False
